title,doi,authors,konferenz,year
Evaluating the Impact of Knowledge Graph Context on Entity Disambiguation Models,10.1145/3340531.3412159,"[{'given': 'Isaiah Onando', 'family': ""Mulang'"", 'sequence': 'first', 'affiliation': [{'name': 'Fraunhofer IAIS and Zerotha Research, Bonn, Germany'}]}, {'given': 'Kuldeep', 'family': 'Singh', 'sequence': 'additional', 'affiliation': [{'name': 'Cerence GmbH and Zerotha Research, Aachen, Germany'}]}, {'given': 'Chaitali', 'family': 'Prabhu', 'sequence': 'additional', 'affiliation': [{'name': 'University of Bonn, Bonn, Germany'}]}, {'given': 'Abhishek', 'family': 'Nadgeri', 'sequence': 'additional', 'affiliation': [{'name': 'Zerotha Research, Mumbai, India'}]}, {'given': 'Johannes', 'family': 'Hoffart', 'sequence': 'additional', 'affiliation': [{'name': 'Goldman Sachs, Frankfurt, Germany'}]}, {'given': 'Jens', 'family': 'Lehmann', 'sequence': 'additional', 'affiliation': [{'name': 'University of Bonn, Sankt Augustin, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
SDM-RDFizer,10.1145/3340531.3412881,"[{'given': 'Enrique', 'family': 'Iglesias', 'sequence': 'first', 'affiliation': [{'name': 'L3S Research Center, Leibniz University of Hannover, Hannover, Germany'}]}, {'given': 'Samaneh', 'family': 'Jozashoori', 'sequence': 'additional', 'affiliation': [{'name': 'TIB Leibniz Information Center for Science and Technology, Hannover, Germany'}]}, {'given': 'David', 'family': 'Chaves-Fraga', 'sequence': 'additional', 'affiliation': [{'name': 'Universidad Politécnica de Madrid, Boadilla del Monte, Spain'}]}, {'given': 'Diego', 'family': 'Collarana', 'sequence': 'additional', 'affiliation': [{'name': 'Fraunhofer IAIS &amp; University of Bonn, Dresden, Germany'}]}, {'given': 'Maria-Esther', 'family': 'Vidal', 'sequence': 'additional', 'affiliation': [{'name': 'TIB Leibniz Information Centre for Science and Technology, Hannover, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
A Multidimensional Dataset Based on Crowdsourcing for Analyzing and Detecting News Bias,10.1145/3340531.3412876,"[{'given': 'Michael', 'family': 'Färber', 'sequence': 'first', 'affiliation': [{'name': 'Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany'}]}, {'given': 'Victoria', 'family': 'Burkard', 'sequence': 'additional', 'affiliation': [{'name': 'Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany'}]}, {'given': 'Adam', 'family': 'Jatowt', 'sequence': 'additional', 'affiliation': [{'name': 'Kyoto University, Kyoto, Japan'}]}, {'given': 'Sora', 'family': 'Lim', 'sequence': 'additional', 'affiliation': [{'name': 'Kyoto University, Kyoto, Japan'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
IWILDS'20,10.1145/3340531.3414076,"[{'given': 'Anett', 'family': 'Hoppe', 'sequence': 'first', 'affiliation': [{'name': 'Leibniz Information Centre for Science &amp; Technology, Hannover, Germany'}]}, {'given': 'Ran', 'family': 'Yu', 'sequence': 'additional', 'affiliation': [{'name': 'Leibniz Institute for the Social Sciences (GESIS), Cologne, Germany'}]}, {'given': 'Yvonne', 'family': 'Kammerer', 'sequence': 'additional', 'affiliation': [{'name': 'Leibniz-Institut für Wissensmedien (IWM) &amp; Open University, Tübingen, Germany'}]}, {'given': 'Ladislao', 'family': 'Salmerón', 'sequence': 'additional', 'affiliation': [{'name': 'University of Valencia, Valencia, Spain'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
CSSA'20,10.1145/3340531.3414072,"[{'given': 'Mehwish', 'family': 'Alam', 'sequence': 'first', 'affiliation': [{'name': 'FIZ Karlsruhe - Leibniz Institute for Information Infrastructure, Eggenstein-Leopoldshafen, Germany'}]}, {'given': 'Paul', 'family': 'Groth', 'sequence': 'additional', 'affiliation': [{'name': 'Universiteit van Amsterdam, Amsterdam, Netherlands'}]}, {'given': 'Pascal', 'family': 'Hitzler', 'sequence': 'additional', 'affiliation': [{'name': 'Kansas State University, Manhattan, KS, USA'}]}, {'given': 'Heiko', 'family': 'Paulheim', 'sequence': 'additional', 'affiliation': [{'name': 'University of Mannheim, Mannheim, Germany'}]}, {'given': 'Harald', 'family': 'Sack', 'sequence': 'additional', 'affiliation': [{'name': 'FIZ Karlsruhe - Leibniz Institute for Information Infrastructure, Eggenstein-Leopoldshafen, Germany'}]}, {'given': 'Volker', 'family': 'Tresp', 'sequence': 'additional', 'affiliation': [{'name': 'Ludwig Maximillian University of Munich &amp; Siemens, Munich, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Embedding based Link Prediction for Knowledge Graph Completion,10.1145/3340531.3418512,"[{'given': 'Russa', 'family': 'Biswas', 'sequence': 'first', 'affiliation': [{'name': 'FIZ Karlsruhe, Leibniz Institute for Information Infrastructure &amp; KIT Karlsruhe, Karlsruhe, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
CSSA'20,10.1145/3340531.3414072,"[{'given': 'Mehwish', 'family': 'Alam', 'sequence': 'first', 'affiliation': [{'name': 'FIZ Karlsruhe - Leibniz Institute for Information Infrastructure, Eggenstein-Leopoldshafen, Germany'}]}, {'given': 'Paul', 'family': 'Groth', 'sequence': 'additional', 'affiliation': [{'name': 'Universiteit van Amsterdam, Amsterdam, Netherlands'}]}, {'given': 'Pascal', 'family': 'Hitzler', 'sequence': 'additional', 'affiliation': [{'name': 'Kansas State University, Manhattan, KS, USA'}]}, {'given': 'Heiko', 'family': 'Paulheim', 'sequence': 'additional', 'affiliation': [{'name': 'University of Mannheim, Mannheim, Germany'}]}, {'given': 'Harald', 'family': 'Sack', 'sequence': 'additional', 'affiliation': [{'name': 'FIZ Karlsruhe - Leibniz Institute for Information Infrastructure, Eggenstein-Leopoldshafen, Germany'}]}, {'given': 'Volker', 'family': 'Tresp', 'sequence': 'additional', 'affiliation': [{'name': 'Ludwig Maximillian University of Munich &amp; Siemens, Munich, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Profiling Entity Matching Benchmark Tasks,10.1145/3340531.3412781,"[{'given': 'Anna', 'family': 'Primpeli', 'sequence': 'first', 'affiliation': [{'name': 'University of Mannheim, Mannheim, Germany'}]}, {'given': 'Christian', 'family': 'Bizer', 'sequence': 'additional', 'affiliation': [{'name': 'University of Mannheim, Mannheim, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
CSSA'20,10.1145/3340531.3414072,"[{'given': 'Mehwish', 'family': 'Alam', 'sequence': 'first', 'affiliation': [{'name': 'FIZ Karlsruhe - Leibniz Institute for Information Infrastructure, Eggenstein-Leopoldshafen, Germany'}]}, {'given': 'Paul', 'family': 'Groth', 'sequence': 'additional', 'affiliation': [{'name': 'Universiteit van Amsterdam, Amsterdam, Netherlands'}]}, {'given': 'Pascal', 'family': 'Hitzler', 'sequence': 'additional', 'affiliation': [{'name': 'Kansas State University, Manhattan, KS, USA'}]}, {'given': 'Heiko', 'family': 'Paulheim', 'sequence': 'additional', 'affiliation': [{'name': 'University of Mannheim, Mannheim, Germany'}]}, {'given': 'Harald', 'family': 'Sack', 'sequence': 'additional', 'affiliation': [{'name': 'FIZ Karlsruhe - Leibniz Institute for Information Infrastructure, Eggenstein-Leopoldshafen, Germany'}]}, {'given': 'Volker', 'family': 'Tresp', 'sequence': 'additional', 'affiliation': [{'name': 'Ludwig Maximillian University of Munich &amp; Siemens, Munich, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Controllable Multi-Character Psychology-Oriented Story Generation,10.1145/3340531.3411937,"[{'given': 'Feifei', 'family': 'Xu', 'sequence': 'first', 'affiliation': [{'name': 'Shanghai University of Electric Power, Shanghai, China'}]}, {'given': 'Xinpeng', 'family': 'Wang', 'sequence': 'additional', 'affiliation': [{'name': 'Shanghai University of Electric Power, Shanghai, China'}]}, {'given': 'Yunpu', 'family': 'Ma', 'sequence': 'additional', 'affiliation': [{'name': 'Ludwig Maximilian University, Munich, Germany'}]}, {'given': 'Volker', 'family': 'Tresp', 'sequence': 'additional', 'affiliation': [{'name': 'Siemens Corporate Technology &amp; Ludwig Maximilian University, Munich, Germany'}]}, {'given': 'Yuyi', 'family': 'Wang', 'sequence': 'additional', 'affiliation': [{'name': 'ETH Zurich, Switzerland, Zurich, Switzerland'}]}, {'given': 'Shanlin', 'family': 'Zhou', 'sequence': 'additional', 'affiliation': [{'name': 'Shanghai University of Electric Power, Shanghai, China'}]}, {'given': 'Haizhou', 'family': 'Du', 'sequence': 'additional', 'affiliation': [{'name': 'Shanghai University of Electric Power, Shanghai, China'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
The Impact of Negative Relevance Judgments on NDCG,10.1145/3340531.3412123,"[{'given': 'Lukas', 'family': 'Gienapp', 'sequence': 'first', 'affiliation': [{'name': 'Leipzig University, Leipzig, Germany'}]}, {'given': 'Maik', 'family': 'Fröbe', 'sequence': 'additional', 'affiliation': [{'name': 'Martin-Luther-Universität Halle-Wittenberg, Halle (Saale), Germany'}]}, {'given': 'Matthias', 'family': 'Hagen', 'sequence': 'additional', 'affiliation': [{'name': 'Martin-Luther-Universität Halle-Wittenberg, Halle (Saale), Germany'}]}, {'given': 'Martin', 'family': 'Potthast', 'sequence': 'additional', 'affiliation': [{'name': 'Leipzig University, Leipzig, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Estimating Topic Difficulty Using Normalized Discounted Cumulated Gain,10.1145/3340531.3412109,"[{'given': 'Lukas', 'family': 'Gienapp', 'sequence': 'first', 'affiliation': [{'name': 'Leipzig University, Leipzig, Germany'}]}, {'given': 'Benno', 'family': 'Stein', 'sequence': 'additional', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Matthias', 'family': 'Hagen', 'sequence': 'additional', 'affiliation': [{'name': 'Martin-Luther-Universität Halle-Wittenberg, Halle (Saale), Germany'}]}, {'given': 'Martin', 'family': 'Potthast', 'sequence': 'additional', 'affiliation': [{'name': 'Leipzig University, Leipzig, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
CauseNet,10.1145/3340531.3412763,"[{'given': 'Stefan', 'family': 'Heindorf', 'sequence': 'first', 'affiliation': [{'name': 'Paderborn University, Paderborn, Germany'}]}, {'given': 'Yan', 'family': 'Scholten', 'sequence': 'additional', 'affiliation': [{'name': 'Technical University of Munich, Munich, Germany'}]}, {'given': 'Henning', 'family': 'Wachsmuth', 'sequence': 'additional', 'affiliation': [{'name': 'Paderborn University, Paderborn, Germany'}]}, {'given': 'Axel-Cyrille', 'family': 'Ngonga Ngomo', 'sequence': 'additional', 'affiliation': [{'name': 'Paderborn University, Paderborn, Germany'}]}, {'given': 'Martin', 'family': 'Potthast', 'sequence': 'additional', 'affiliation': [{'name': 'Leipzig University, Leipzig, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Web Page Segmentation Revisited,10.1145/3340531.3412782,"[{'given': 'Johannes', 'family': 'Kiesel', 'sequence': 'first', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Florian', 'family': 'Kneist', 'sequence': 'additional', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Lars', 'family': 'Meyer', 'sequence': 'additional', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Kristof', 'family': 'Komlossy', 'sequence': 'additional', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Benno', 'family': 'Stein', 'sequence': 'additional', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Martin', 'family': 'Potthast', 'sequence': 'additional', 'affiliation': [{'name': 'Leipzig University, Leipzig, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Evaluating the Impact of Knowledge Graph Context on Entity Disambiguation Models,10.1145/3340531.3412159,"[{'given': 'Isaiah Onando', 'family': ""Mulang'"", 'sequence': 'first', 'affiliation': [{'name': 'Fraunhofer IAIS and Zerotha Research, Bonn, Germany'}]}, {'given': 'Kuldeep', 'family': 'Singh', 'sequence': 'additional', 'affiliation': [{'name': 'Cerence GmbH and Zerotha Research, Aachen, Germany'}]}, {'given': 'Chaitali', 'family': 'Prabhu', 'sequence': 'additional', 'affiliation': [{'name': 'University of Bonn, Bonn, Germany'}]}, {'given': 'Abhishek', 'family': 'Nadgeri', 'sequence': 'additional', 'affiliation': [{'name': 'Zerotha Research, Mumbai, India'}]}, {'given': 'Johannes', 'family': 'Hoffart', 'sequence': 'additional', 'affiliation': [{'name': 'Goldman Sachs, Frankfurt, Germany'}]}, {'given': 'Jens', 'family': 'Lehmann', 'sequence': 'additional', 'affiliation': [{'name': 'University of Bonn, Sankt Augustin, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Quality-Aware Ranking of Arguments,10.1145/3340531.3411960,"[{'given': 'Lorik', 'family': 'Dumani', 'sequence': 'first', 'affiliation': [{'name': 'Trier University, Trier, Germany'}]}, {'given': 'Ralf', 'family': 'Schenkel', 'sequence': 'additional', 'affiliation': [{'name': 'Trier University, Trier, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Sample Driven Data Mapping for Linked Data and Web APIs,10.1145/3340531.3417438,"[{'given': 'Tobias', 'family': 'Zeimetz', 'sequence': 'first', 'affiliation': [{'name': 'Trier University, Trier, Germany'}]}, {'given': 'Ralf', 'family': 'Schenkel', 'sequence': 'additional', 'affiliation': [{'name': 'Trier University, Trier, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Predicting Quality of Automated Welding with Machine Learning and Semantics,10.1145/3340531.3412737,"[{'given': 'Baifan', 'family': 'Zhou', 'sequence': 'first', 'affiliation': [{'name': 'Bosch Corporate Research &amp; Karlsruhe Institute of Technology, Renningen, Germany'}]}, {'given': 'Yulia', 'family': 'Svetashova', 'sequence': 'additional', 'affiliation': [{'name': 'Bosch Corporate Research &amp; Karlsruhe Institute of Technology, Renningen, Germany'}]}, {'given': 'Seongsu', 'family': 'Byeon', 'sequence': 'additional', 'affiliation': [{'name': 'Bosch Corporate Research &amp; University of Siegen, Renningen, Germany'}]}, {'given': 'Tim', 'family': 'Pychynski', 'sequence': 'additional', 'affiliation': [{'name': 'Bosch Corporate Research, Renningen, Germany'}]}, {'given': 'Ralf', 'family': 'Mikut', 'sequence': 'additional', 'affiliation': [{'name': 'Karlsruhe Institute of Technology, Karlsruhe, Germany'}]}, {'given': 'Evgeny', 'family': 'Kharlamov', 'sequence': 'additional', 'affiliation': [{'name': 'Bosch Center for Artificial Intelligence &amp; University of Oslo, Renningen, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Predicting Quality of Automated Welding with Machine Learning and Semantics,10.1145/3340531.3412737,"[{'given': 'Baifan', 'family': 'Zhou', 'sequence': 'first', 'affiliation': [{'name': 'Bosch Corporate Research &amp; Karlsruhe Institute of Technology, Renningen, Germany'}]}, {'given': 'Yulia', 'family': 'Svetashova', 'sequence': 'additional', 'affiliation': [{'name': 'Bosch Corporate Research &amp; Karlsruhe Institute of Technology, Renningen, Germany'}]}, {'given': 'Seongsu', 'family': 'Byeon', 'sequence': 'additional', 'affiliation': [{'name': 'Bosch Corporate Research &amp; University of Siegen, Renningen, Germany'}]}, {'given': 'Tim', 'family': 'Pychynski', 'sequence': 'additional', 'affiliation': [{'name': 'Bosch Corporate Research, Renningen, Germany'}]}, {'given': 'Ralf', 'family': 'Mikut', 'sequence': 'additional', 'affiliation': [{'name': 'Karlsruhe Institute of Technology, Karlsruhe, Germany'}]}, {'given': 'Evgeny', 'family': 'Kharlamov', 'sequence': 'additional', 'affiliation': [{'name': 'Bosch Center for Artificial Intelligence &amp; University of Oslo, Renningen, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
TiCCo,10.1145/3340531.3417432,"[{'given': 'Philip', 'family': 'Hausner', 'sequence': 'first', 'affiliation': [{'name': 'Heidelberg University, Heidelberg, Germany'}]}, {'given': 'Dennis', 'family': 'Aumiller', 'sequence': 'additional', 'affiliation': [{'name': 'Heidelberg University, Heidelberg, Germany'}]}, {'given': 'Michael', 'family': 'Gertz', 'sequence': 'additional', 'affiliation': [{'name': 'Heidelberg University, Heidelberg, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Automatic Gaussian Process Model Retrieval for Big Data,10.1145/3340531.3412182,"[{'given': 'Fabian', 'family': 'Berns', 'sequence': 'first', 'affiliation': [{'name': 'University of Münster, Münster, Germany'}]}, {'given': 'Christian', 'family': 'Beecks', 'sequence': 'additional', 'affiliation': [{'name': 'University of Münster &amp; Fraunhofer Institute for Applied Information Technology, Münster &amp; Sankt Augustin, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
INforE,10.1145/3340531.3417435,"[{'given': 'Nikos', 'family': 'Giatrakos', 'sequence': 'first', 'affiliation': [{'name': 'Athena Research Center &amp; Technical University of Crete, Maroussi, Athens, Greece'}]}, {'given': 'David', 'family': 'Arnu', 'sequence': 'additional', 'affiliation': [{'name': 'RapidMiner GmbH, Dortmund, Germany'}]}, {'given': 'Theodoros', 'family': 'Bitsakis', 'sequence': 'additional', 'affiliation': [{'name': 'Athena Research Center &amp; Technical University of Crete, Maroussi, Athens, Greece'}]}, {'given': 'Antonios', 'family': 'Deligiannakis', 'sequence': 'additional', 'affiliation': [{'name': 'Athena Research Center &amp; Technical University of Crete, Maroussi, Athens, Greece'}]}, {'given': 'Minos', 'family': 'Garofalakis', 'sequence': 'additional', 'affiliation': [{'name': 'Athena Research Center &amp; Technical University of Crete, Maroussi, Athens, Greece'}]}, {'given': 'Ralf', 'family': 'Klinkenberg', 'sequence': 'additional', 'affiliation': [{'name': 'RapidMiner GmbH, Dortmund, Germany'}]}, {'given': 'Aris', 'family': 'Konidaris', 'sequence': 'additional', 'affiliation': [{'name': 'Athena Research Center &amp; Technical University of Crete, Maroussi, Athens, Greece'}]}, {'given': 'Antonis', 'family': 'Kontaxakis', 'sequence': 'additional', 'affiliation': [{'name': 'Athena Research Center &amp; Technical University of Crete, Maroussi, Athens, Greece'}]}, {'given': 'Yannis', 'family': 'Kotidis', 'sequence': 'additional', 'affiliation': [{'name': 'Athens University of Economics and Business &amp; Athena Research Center, Athens, Greece'}]}, {'given': 'Vasilis', 'family': 'Samoladas', 'sequence': 'additional', 'affiliation': [{'name': 'Athena Research Center &amp; Technical University of Crete, Maroussi, Athens, Greece'}]}, {'given': 'Alkis', 'family': 'Simitsis', 'sequence': 'additional', 'affiliation': [{'name': 'Athena Research Center &amp; Technical University of Crete, Maroussi, Athens, Greece'}]}, {'given': 'George', 'family': 'Stamatakis', 'sequence': 'additional', 'affiliation': [{'name': 'Athena Research Center &amp; Technical University of Crete, Maroussi, Athens, Greece'}]}, {'given': 'Fabian', 'family': 'Temme', 'sequence': 'additional', 'affiliation': [{'name': 'RapidMiner GmbH, Dortmund, Germany'}]}, {'given': 'Mate', 'family': 'Torok', 'sequence': 'additional', 'affiliation': [{'name': 'RapidMiner GmbH, Dortmund, Germany'}]}, {'given': 'Edwin', 'family': 'Yaqub', 'sequence': 'additional', 'affiliation': [{'name': 'RapidMiner GmbH, Dortmund, Germany'}]}, {'given': 'Arnau', 'family': 'Montagud', 'sequence': 'additional', 'affiliation': [{'name': 'Barcelona Supercomputing Center, Barcelona, Spain'}]}, {'given': 'Miguel', 'family': 'Ponce de León', 'sequence': 'additional', 'affiliation': [{'name': 'Barcelona Supercomputing Center, Barcelona, Spain'}]}, {'given': 'Holger', 'family': 'Arndt', 'sequence': 'additional', 'affiliation': [{'name': 'Spring Techno GmbH &amp; Co. KG, Bremen, Germany'}]}, {'given': 'Stefan', 'family': 'Burkard', 'sequence': 'additional', 'affiliation': [{'name': 'Spring Techno GmbH &amp; Co. KG, Bremen, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Estimating Topic Difficulty Using Normalized Discounted Cumulated Gain,10.1145/3340531.3412109,"[{'given': 'Lukas', 'family': 'Gienapp', 'sequence': 'first', 'affiliation': [{'name': 'Leipzig University, Leipzig, Germany'}]}, {'given': 'Benno', 'family': 'Stein', 'sequence': 'additional', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Matthias', 'family': 'Hagen', 'sequence': 'additional', 'affiliation': [{'name': 'Martin-Luther-Universität Halle-Wittenberg, Halle (Saale), Germany'}]}, {'given': 'Martin', 'family': 'Potthast', 'sequence': 'additional', 'affiliation': [{'name': 'Leipzig University, Leipzig, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
Web Page Segmentation Revisited,10.1145/3340531.3412782,"[{'given': 'Johannes', 'family': 'Kiesel', 'sequence': 'first', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Florian', 'family': 'Kneist', 'sequence': 'additional', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Lars', 'family': 'Meyer', 'sequence': 'additional', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Kristof', 'family': 'Komlossy', 'sequence': 'additional', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Benno', 'family': 'Stein', 'sequence': 'additional', 'affiliation': [{'name': 'Bauhaus-Universität Weimar, Weimar, Germany'}]}, {'given': 'Martin', 'family': 'Potthast', 'sequence': 'additional', 'affiliation': [{'name': 'Leipzig University, Leipzig, Germany'}]}]","{'name': ""CIKM '20: The 29th ACM International Conference on Information and Knowledge Management"", 'location': 'Virtual Event Ireland', 'acronym': ""CIKM '20"", 'sponsor': ['SIGWEB ACM Special Interest Group on Hypertext, Hypermedia, and Web', 'SIGIR ACM Special Interest Group on Information Retrieval']}",2020
