title,doi,authors,konferenz,year
Privacy at a Glance: A Process to Learn Modular Privacy Icons During Web Browsing,10.1145/3498366.3505813,"[{'given': 'Maximiliane', 'family': 'Windl', 'sequence': 'first', 'affiliation': [{'name': 'LMU Munich, Germany'}]}, {'given': 'Anna-Marie', 'family': 'Ortloff', 'sequence': 'additional', 'affiliation': [{'name': 'University of Bonn, Germany'}]}, {'given': 'Niels', 'family': 'Henze', 'sequence': 'additional', 'affiliation': [{'name': 'University of Regensburg, Germany'}]}, {'given': 'Valentin', 'family': 'Schwind', 'sequence': 'additional', 'affiliation': [{'name': 'Frankfurt University of Applied Sciences, Germany'}]}]","{'name': ""CHIIR '22: ACM SIGIR Conference on Human Information Interaction and Retrieval"", 'location': 'Regensburg Germany', 'acronym': ""CHIIR '22"", 'sponsor': ['SIGIR ACM Special Interest Group on Information Retrieval', 'SIGCHI ACM Special Interest Group on Computer-Human Interaction']}",2022
Featured Snippets and their Influence on Users’ Credibility Judgements,10.1145/3498366.3505766,"[{'given': 'Markus', 'family': 'Bink', 'sequence': 'first', 'affiliation': [{'name': 'University of Regensburg, Germany'}]}, {'given': 'Steven', 'family': 'Zimmerman', 'sequence': 'additional', 'affiliation': [{'name': 'University of Essex, United Kingdom'}]}, {'given': 'David', 'family': 'Elsweiler', 'sequence': 'additional', 'affiliation': [{'name': 'University of Regensburg, Germany'}]}]","{'name': ""CHIIR '22: ACM SIGIR Conference on Human Information Interaction and Retrieval"", 'location': 'Regensburg Germany', 'acronym': ""CHIIR '22"", 'sponsor': ['SIGIR ACM Special Interest Group on Information Retrieval', 'SIGCHI ACM Special Interest Group on Computer-Human Interaction']}",2022
“I’m at my wits’ end” - Anticipating Information Needs and Appropriate Support Strategies in Behaviour Change,10.1145/3498366.3505807,"[{'given': 'Selina', 'family': 'Meyer', 'sequence': 'first', 'affiliation': [{'name': 'Chair for Information Science, University of Regensburg, Germany'}]}]","{'name': ""CHIIR '22: ACM SIGIR Conference on Human Information Interaction and Retrieval"", 'location': 'Regensburg Germany', 'acronym': ""CHIIR '22"", 'sponsor': ['SIGIR ACM Special Interest Group on Information Retrieval', 'SIGCHI ACM Special Interest Group on Computer-Human Interaction']}",2022
“Mhm...” – Conversational Strategies For Product Search Assistants,10.1145/3498366.3505809,"[{'given': 'Andrea', 'family': 'Papenmeier', 'sequence': 'first', 'affiliation': [{'name': 'GESIS - Leibniz-Institute for the Social Sciences, Germany'}]}, {'given': 'Alexander', 'family': 'Frummet', 'sequence': 'additional', 'affiliation': [{'name': 'University of Regensburg, Germany'}]}, {'given': 'Dagmar', 'family': 'Kern', 'sequence': 'additional', 'affiliation': [{'name': 'GESIS - Leibniz-Institute for the Social Sciences, Germany'}]}]","{'name': ""CHIIR '22: ACM SIGIR Conference on Human Information Interaction and Retrieval"", 'location': 'Regensburg Germany', 'acronym': ""CHIIR '22"", 'sponsor': ['SIGIR ACM Special Interest Group on Information Retrieval', 'SIGCHI ACM Special Interest Group on Computer-Human Interaction']}",2022
“Mhm...” – Conversational Strategies For Product Search Assistants,10.1145/3498366.3505809,"[{'given': 'Andrea', 'family': 'Papenmeier', 'sequence': 'first', 'affiliation': [{'name': 'GESIS - Leibniz-Institute for the Social Sciences, Germany'}]}, {'given': 'Alexander', 'family': 'Frummet', 'sequence': 'additional', 'affiliation': [{'name': 'University of Regensburg, Germany'}]}, {'given': 'Dagmar', 'family': 'Kern', 'sequence': 'additional', 'affiliation': [{'name': 'GESIS - Leibniz-Institute for the Social Sciences, Germany'}]}]","{'name': ""CHIIR '22: ACM SIGIR Conference on Human Information Interaction and Retrieval"", 'location': 'Regensburg Germany', 'acronym': ""CHIIR '22"", 'sponsor': ['SIGIR ACM Special Interest Group on Information Retrieval', 'SIGCHI ACM Special Interest Group on Computer-Human Interaction']}",2022
Does Search Engine Optimization come along with high-quality content?,10.1145/3498366.3505811,"[{'given': 'Sebastian', 'family': 'Schultheiß', 'sequence': 'first', 'affiliation': [{'name': 'Department of Information, Hamburg University of Applied Sciences - HAW Hamburg, Germany'}]}, {'given': 'Helena', 'family': 'Häußler', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Information, Hamburg University of Applied Sciences - HAW Hamburg, Germany'}]}, {'given': 'Dirk', 'family': 'Lewandowski', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Information, Hamburg University of Applied Sciences - HAW Hamburg, Germany'}]}]","{'name': ""CHIIR '22: ACM SIGIR Conference on Human Information Interaction and Retrieval"", 'location': 'Regensburg Germany', 'acronym': ""CHIIR '22"", 'sponsor': ['SIGIR ACM Special Interest Group on Information Retrieval', 'SIGCHI ACM Special Interest Group on Computer-Human Interaction']}",2022
Third Workshop on Building towards Information Interaction and Retrieval Resources Re-use (BIIRRR 2022),10.1145/3498366.3505838,"[{'given': 'Toine', 'family': 'Bogers', 'sequence': 'first', 'affiliation': [{'name': 'Aalborg University, Denmark'}]}, {'given': 'Maria', 'family': 'Gäde', 'sequence': 'additional', 'affiliation': [{'name': 'Humboldt-Universität zu Berlin, Germany'}]}, {'given': 'Mark Michael', 'family': 'Hall', 'sequence': 'additional', 'affiliation': [{'name': 'The Open University, United Kingdom'}]}, {'given': 'Marijn', 'family': 'Koolen', 'sequence': 'additional', 'affiliation': [{'name': 'Huygens Institute for the History of the Netherlands, Royal Netherlands Academy of Arts and Sciences, Netherlands'}]}, {'given': 'Vivien', 'family': 'Petras', 'sequence': 'additional', 'affiliation': [{'name': 'Humboldt-Universität zu Berlin, Germany'}]}, {'given': 'Paul', 'family': 'Thomas', 'sequence': 'additional', 'affiliation': [{'name': 'Microsoft, Australia'}]}]","{'name': ""CHIIR '22: ACM SIGIR Conference on Human Information Interaction and Retrieval"", 'location': 'Regensburg Germany', 'acronym': ""CHIIR '22"", 'sponsor': ['SIGIR ACM Special Interest Group on Information Retrieval', 'SIGCHI ACM Special Interest Group on Computer-Human Interaction']}",2022
Interactive Assessment Tool for Gaze-based Machine Learning Models in Information Retrieval,10.1145/3498366.3505834,"[{'given': 'Pablo', 'family': 'Valdunciel', 'sequence': 'first', 'affiliation': [{'name': 'German Research Center for Artificial Intelligence (DFKI), Germany'}]}, {'given': 'Omair Shahzad', 'family': 'Bhatti', 'sequence': 'additional', 'affiliation': [{'name': 'German Research Center for Artificial Intelligence (DFKI), Germany'}]}, {'given': 'Michael', 'family': 'Barz', 'sequence': 'additional', 'affiliation': [{'name': 'German Research Center for Artificial Intelligence (DFKI), Germany and Applied Artificial Intelligence, Oldenburg University, Germany'}]}, {'given': 'Daniel', 'family': 'Sonntag', 'sequence': 'additional', 'affiliation': [{'name': 'German Research Center for Artificial Intelligence (DFKI), Germany and Applied Artificial Intelligence, Oldenburg University, Germany'}]}]","{'name': ""CHIIR '22: ACM SIGIR Conference on Human Information Interaction and Retrieval"", 'location': 'Regensburg Germany', 'acronym': ""CHIIR '22"", 'sponsor': ['SIGIR ACM Special Interest Group on Information Retrieval', 'SIGCHI ACM Special Interest Group on Computer-Human Interaction']}",2022
"SaL-Lightning Dataset: Search and Eye Gaze Behavior, Resource Interactions and Knowledge Gain during Web Search",10.1145/3498366.3505835,"[{'given': 'Christian', 'family': 'Otto', 'sequence': 'first', 'affiliation': [{'name': 'TIB - Leibniz Information Centre for Science and Technology, Germany'}]}, {'given': 'Markus', 'family': 'Rokicki', 'sequence': 'additional', 'affiliation': [{'name': 'L3S Research Center, Leibniz Universität Hannover, Germany'}]}, {'given': 'Georg', 'family': 'Pardi', 'sequence': 'additional', 'affiliation': [{'name': 'Leibniz-Institut für Wissensmedien (IWM), Germany'}]}, {'given': 'Wolfgang', 'family': 'Gritz', 'sequence': 'additional', 'affiliation': [{'name': 'TIB - Leibniz Information Centre for Science and Technology, Germany'}]}, {'given': 'Daniel', 'family': 'Hienert', 'sequence': 'additional', 'affiliation': [{'name': 'GESIS - Leibniz Institute for the Social Sciences, Germany'}]}, {'given': 'Ran', 'family': 'Yu', 'sequence': 'additional', 'affiliation': [{'name': 'Data Science &amp; Intelligent Systems (DSIS), University of Bonn, Germany'}]}, {'given': 'Johannes', 'family': 'von Hoyer', 'sequence': 'additional', 'affiliation': [{'name': 'Leibniz-Institut für Wissensmedien (IWM), Germany'}]}, {'given': 'Anett', 'family': 'Hoppe', 'sequence': 'additional', 'affiliation': [{'name': 'L3S Research Center, Leibniz Universität Hannover, Germany and TIB - Leibniz Information Centre for Science and Technology, Germany'}]}, {'given': 'Stefan', 'family': 'Dietze', 'sequence': 'additional', 'affiliation': [{'name': 'GESIS - Leibniz Institute for the Social Sciences, Germany'}]}, {'given': 'Peter', 'family': 'Holtz', 'sequence': 'additional', 'affiliation': [{'name': 'Leibniz-Institut für Wissensmedien (IWM), Germany'}]}, {'given': 'Yvonne', 'family': 'Kammerer', 'sequence': 'additional', 'affiliation': [{'name': 'Leibniz-Institut für Wissensmedien (IWM), Germany'}]}, {'given': 'Ralph', 'family': 'Ewerth', 'sequence': 'additional', 'affiliation': [{'name': 'L3S Research Center, Leibniz Universität Hannover, Germany and TIB - Leibniz Information Centre for Science and Technology, Germany'}]}]","{'name': ""CHIIR '22: ACM SIGIR Conference on Human Information Interaction and Retrieval"", 'location': 'Regensburg Germany', 'acronym': ""CHIIR '22"", 'sponsor': ['SIGIR ACM Special Interest Group on Information Retrieval', 'SIGCHI ACM Special Interest Group on Computer-Human Interaction']}",2022
COVID-19 Information-Tracking Solutions: A Qualitative Investigation of the Factors Influencing People’s Adoption Intention,10.1145/3498366.3505756,"[{'given': 'Yue', 'family': 'Huang', 'sequence': 'first', 'affiliation': [{'name': 'The University of British Columbia, Canada'}]}, {'given': 'Borke', 'family': 'Obada-Obieh', 'sequence': 'additional', 'affiliation': [{'name': 'The University of British Columbia, Canada'}]}, {'given': 'Elissa M.', 'family': 'Redmiles', 'sequence': 'additional', 'affiliation': [{'name': 'Max Planck Institute for Software Systems, Germany'}]}, {'given': 'Satya', 'family': 'Lokam', 'sequence': 'additional', 'affiliation': [{'name': 'Microsoft Research, India'}]}, {'given': 'Konstantin', 'family': 'Beznosov', 'sequence': 'additional', 'affiliation': [{'name': 'The University of British Columbia, Canada'}]}]","{'name': ""CHIIR '22: ACM SIGIR Conference on Human Information Interaction and Retrieval"", 'location': 'Regensburg Germany', 'acronym': ""CHIIR '22"", 'sponsor': ['SIGIR ACM Special Interest Group on Information Retrieval', 'SIGCHI ACM Special Interest Group on Computer-Human Interaction']}",2022
