Institut,Count,Adresse,Homepage,lat,lon
"Universität Hamburg / Fakultät für Mathematik, Informatik und Naturwissenschaften (MIN) / Fachbereich Informatik / Language Technology group (LT)",9,"Department of Informatics
Universität Hamburg
Vogt-Kölln-Straße 30
22527 Hamburg",https://www.inf.uni-hamburg.de/en/inst/ab/lt/home.html,53.5998564,9.9316718
ZBW – Leibniz-Informationszentrum Wirtschaft,4,"Düsternbrooker Weg 120
24105 Kiel",https://www.zbw.eu/de/forschung/forschungsgruppe,54.3382814,10.156137023908022
"TIB – Leibniz-Informationszentrum Technik und Naturwissenschaften, Hannover / FG Scientific Data Management",6,"Lange Laube 28
30159 Hannover",https://www.tib.eu/de/forschung-entwicklung/forschungsgruppen-und-labs/scientific-data-management,52.37709985,9.727516680544554
"TIB - Leibniz Informationszentrum Technik und Naturwissenschaften, Hannover / Forschungsgruppe  Visual Analytics",15,"Lange Laube 28
30159 Hannover",https://www.tib.eu/de/forschung-entwicklung/forschungsgruppen-und-labs/visual-analytics,52.37709985,9.727516680544554
Deutsches Zentrum für Hochschul- und Wissenschaftsforschung GmbH (DZHW),2,"Deutsches Zentrum für Hochschul- und Wissenschaftsforschung
Lange Laube 12
30159 Hannover",https://www.dzhw.eu/gmbh/index_html,52.3764534,9.7299594
"TIB – Leibniz-Informationszentrum Technik und Naturwissenschaften, Hannover / FG Data Science and Digital Libraries",2,"Marstallgebäude
Welfengarten 1A
30167 Hannover",https://www.tib.eu/de/forschung-entwicklung/forschungsgruppen-und-labs/data-science-digital-libraries,52.3834463,9.7199273
Gottfried Wilhelm Leibniz Universität Hannover / Fakultät für Elektrotechnik und Informatik / Institut für Künstliche Intelligenz LUHAI / AG Natural Language Processing (NLP) (Henning Wachsmuth),8,"Institut für Künstliche Intelligenz
Appelstr. 9A, 13. Stock
30167 Hannover",https://www.ai.uni-hannover.de/de/institut/arbeitsgruppen/nlp,,
Forschungszentrum L3S Hannover,28,"Forschungszentrum L3S
Appelstraße 9a
30167 Hannover",https://www.l3s.de/de/,52.3885661,9.7127429
Gottfried Wilhelm Leibniz Universität Hannover / Fakultät für Elektrotechnik und Informatik,7,"Leibniz Universität Hannover
Fakultät für Elektrotechnik und Informatik
Dekanat
Appelstraße 11
30167 Hannover",https://www.et-inf.uni-hannover.de/de/,52.3892355,9.7124013
Universität Hildesheim / Fachbereich Sprach- und Informationswissenschaften / Institut für Informationswissenschaft und Sprachtechnologie,7,"Universität Hildesheim
Institut für Informationswissenschaft und Sprachtechnologie
Lübecker Str. 3
31141 Hildesheim",https://www.uni-hildesheim.de/fb3/institute/iwist/,52.1366129,9.9636546
Universität Bielefeld / Technische Fakultät / Research Clusters: Cognitive Interaction Technology (CITEC),2,"Center for Cognitive Interaction Technology
Bielefeld University
Inspiration 1
33619 Bielefeld",https://www.uni-bielefeld.de/zwe/citec/,52.0454318,8.4918048
Universität Kassel / Fachbereich 16: Elektrotechnik/Informatik / Fachgebiet Verteilte Systeme,2,"Universität Kassel
Fachbereich 16
Elektrotechnik/Informatik 
Wilhelmshöher Allee 71 - 73
34121 Kassel",https://www.uni-kassel.de/eecs/vs/home,51.3113132,9.474229243398554
Justus-Liebig-Universität Gießen / Fachbereich 02 - Wirtschaftswissenschaften / Data Science und Digitalisierung (Nicolas Pröllochs),3,"Licher Straße 62
35394 Gießen",https://www.uni-giessen.de/de/fbz/fb02/fb/professuren/bwl/data-science-digitalisierung,50.5818333,8.6934297
Leibniz-Institut für Bildungsmedien | Georg-Eckert-Institut (GEI) ,3,"Leibniz-Institut für Bildungsmedien | Georg-Eckert-Institut
Freisestr. 1
38118 Braunschweig",https://www.gei.de/institut/das-gei,52.2680626,10.5104763
Otto-von-Guericke-Universität Magdeburg / Fakultät für Informatik / Institut für Technische und Betriebliche Informationssysteme (ITI),6,"Otto-von-Guericke-Universität
Fakultät für Informatik
Institut für Technische und Betriebliche Informationssysteme
Gebäude 29; Raum 117
Universitätplatz 2
39106 Magdeburg",https://wwwiti.cs.uni-magdeburg.de/index.php,,
Heinrich-Heine-Universität Düsseldorf / Mathematisch-Naturwissenschaftliche Fakultät / Fach Informatik / Datenbanken und Informationssysteme,2,"Lehrstuhl für Datenbanken und Informationssysteme
Institut für Informatik
Heinrich-Heine-Universität Düsseldorf
Universitätsstr. 1, Geb. 25.12
40225 Düsseldorf",https://dbs.cs.uni-duesseldorf.de/,,
"Bergische Universität Wuppertal / Fakultät für Elektrotechnik, Informationstechnik und Medientechnologie / Institut für Technologien und Management der Digitalen Transformation (TMDT)",4,"Gebäude FZ (Technologiezentrum Wuppertal, W-tec)
Lise-Meitner-Straße 27
42119 Wuppertal",https://www.tmdt.uni-wuppertal.de/de/,51.2373245,7.1616353
Fachhochschule  Dortmund / Fachbereich Informatik,8,"Fachbereich Informatik
Fachhochschule Dortmund
Emil-Figge-Str. 42
44227 Dortmund",https://www.fh-dortmund.de/hochschule/informatik/index.php,51.49385785,7.420087100442479
Ruhr-Universität Bochum / Fakultät für Informatik,2,"Fakultät für Informatik
Ruhr-Universität Bochum
Gebäude MC (ehemaliges VC-Gebäude)
Universitätsstraße 140
44799 Bochum",https://informatik.rub.de/,51.444448,7.2563989
Ruhr-Universität Bochum / Fakultät für Philologie / Germanistisches Institut,2,"Ruhr-Universität Bochum
Germanistisches Institut | GB 4/38
Universitätsstraße 150
44801 Bochum",https://germanistik.blogs.ruhr-uni-bochum.de/,51.444157649999994,7.260965412383296
Ruhr-Universität Bochum / Fakultät für Informatik / Lehrstul für Datenbanken und Informationssysteme (Acosta),2,"Fakultät für Informatik
Ruhr-Universität Bochum
Universitätsstraße 150
44801 Bochum",https://informatik.rub.de/fakultaet/lehrstuehle/,51.444157649999994,7.260965412383296
"Universitätsklinikum Essen / Institut für Medizinische Informatik, Biometrie und Epidemiologie (IMIBE)",2,"Institut für Medizinische Informatik, Biometrie und Epidemiologie
Colonia Haus
Zweigertstr. 37
D-45130 Essen",https://imibe.uk-essen.de/,51.4366963,7.0009203
Universität Duisburg-Essen / Universitätsklinikum Essen / Institute for Artificial Intelligence in Medicine / Multimodal Computing & Machine Intelligence research group  (MCMI research group) ,2,"Girardethaus
Girardetstr. 2
House 2
45131 Essen ",https://www.ikim.uk-essen.de/groups/mcmi,,
Universitätsklinikum Essen / Institut für Transfusionsmedizin,2,"Universitätsklinikum Essen (AöR)
Hufelandstraße 55
45147 Essen",https://transfusionsmedizin.uk-essen.de/,51.43510215,6.988783779615759
Institut für Internet-Sicherheit / an der Westfälischen Hochschule Gelsenkirchen ,2,"Neidenburger Straße 43
45897 Gelsenkirchen",https://www.internet-sicherheit.de/index.html,51.574148699999995,7.025974041326364
Universität Duisburg-Essen / Fakultät für Gesellschaftswissenschaften / Institut für Soziologie (IfS) / Lehrstuhl für Empirische Sozialforschung,2,"Universität Duisburg-Essen
Campus Duisburg
Institut für Soziologie
Forsthausweg 2
47057 Duisburg",https://www.uni-due.de/soziologie/,51.4277924,6.801018922822806
Universität Duisburg-Essen / Fakultät Ingenieurwissenschaften / Abteilung Informatik und Angewandte Kognitionswissenschaft,8,"Universität Duisburg-Essen
Fakultät für Ingenieurwissenschaften
Abteilung INKO
Bismarckstraße 69-90 
47057 Duisburg",https://www.uni-due.de/iw/inko/de/,51.425888,6.783101
Westfälische Wilhelms-Universität Münster / Fachbereich 14: Geowissenschaften / Institut für Geoinformatik,2,"Institut für Geoinformatik
Heisenbergstraße 2
48149 Münster",https://www.uni-muenster.de/Geoinformatics/,51.9692826,7.5959119
"GESIS - Leibniz-Institut für Sozialwissenschaften, Köln",27,"GESIS - Leibniz-Institut für Sozialwissenschaften
Unter Sachsenhausen 6-8
50667 Köln",https://www.gesis.org/home,50.9426253,6.9524319
"TH Köln / Fakultät für Informations- und Kommunikations
wissenschaften /Institut für Informationswissenschaft und Institut für Informationsmanagement",12,"TH Köln
Campus Südstadt
Claudiusstraße 1
50678 Köln",https://www.th-koeln.de/informations-und-kommunikationswissenschaften/institut-fuer-informationsmanagement_8291.php,50.91957995,6.967450057076347
"Deutsche Zentralbibliothek für Medizin (ZB MED) - 
Informationszentrum Lebenswissenschaften / Team Semantische Technologien ",4,"ZB MED - Informationszentrum Lebenswissen­schaften
Standort Köln, Medizin, Gesundheitswesen
Gleueler Straße 60
50931 Köln",https://www.zbmed.de/,50.9246574,6.916421192853894
