Land,title,doi,acronym,year,num_authors,orcid,name,affiliation,affiliation_clean,Fakultät,Institut / Lehrstuhl / Fachbereich / Ptrofessur,c_aff,AG / Bereich,Adresse,Homepage,Notiz,2_affiliation_clean,2_Fakultät,2_Institut / Lehrstuhl / Fachbereich / Ptrofessur,2_AG / Bereich,2_Adresse,2_Homepage,2_Notiz
Germany,SoChainDB,10.1145/3477495.3531735,SIGIR,2022,5,,Zahra Ahmadi,"L3S Research Center, Leibniz Universität Hannover, Hannover, Germany",,,,"L3S Research Center, Leibniz Universität Hannover, Germany",Forschungszentrum L3S,Appelstraße 9a 30167 Hannover,https://www.l3s.de/de/,,,,,,,,
Germany,FaxPlainAC,10.1145/3459637.3481985,CIKM,2021,3,,Zijian Zhang,"L3S Research Center, Hannover, Germany",,,,"L3S Research Center, Leibniz Universität Hannover, Germany",Forschungszentrum L3S,Appelstraße 9a 30167 Hannover,https://www.l3s.de/de/,,,,,,,,
Germany,SparCAssist,10.1145/3477495.3531677,SIGIR,2022,3,,Zijian Zhang,"L3S Research Center, Hannover, Germany",,,,"L3S Research Center, Leibniz Universität Hannover, Germany",Forschungszentrum L3S,Appelstraße 9a 30167 Hannover,https://www.l3s.de/de/,,,,,,,,
Germany,Starting Conversations with Search Engines - Interfaces that Elicit Natural Language Queries,10.1145/3406522.3446035,CHIIR,2021,6,,Andrea Papenmeier,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,Dataset of Natural Language Queries for E-Commerce,10.1145/3406522.3446043,CHIIR,2021,6,,Andrea Papenmeier,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,“Mhm...” – Conversational Strategies For Product Search Assistants,10.1145/3498366.3505809,CHIIR,2022,3,,Andrea Papenmeier,"GESIS - Leibniz-Institute for the Social Sciences, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,Starting Conversations with Search Engines - Interfaces that Elicit Natural Language Queries,10.1145/3406522.3446035,CHIIR,2021,6,,Dagmar Kern,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,Dataset of Natural Language Queries for E-Commerce,10.1145/3406522.3446043,CHIIR,2021,6,,Dagmar Kern,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,The Role of Word-Eye-Fixations for Query Term Prediction,10.1145/3343413.3378010,CHIIR,2020,4,,Dagmar Kern,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,“Mhm...” – Conversational Strategies For Product Search Assistants,10.1145/3498366.3505809,CHIIR,2022,3,,Dagmar Kern,"GESIS - Leibniz-Institute for the Social Sciences, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,Starting Conversations with Search Engines - Interfaces that Elicit Natural Language Queries,10.1145/3406522.3446035,CHIIR,2021,6,,Daniel Hienert,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,Dataset of Natural Language Queries for E-Commerce,10.1145/3406522.3446043,CHIIR,2021,6,,Daniel Hienert,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,The Role of Word-Eye-Fixations for Query Term Prediction,10.1145/3343413.3378010,CHIIR,2020,4,,Daniel Hienert,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,"SaL-Lightning Dataset: Search and Eye Gaze Behavior, Resource Interactions and Knowledge Gain during Web Search",10.1145/3498366.3505835,CHIIR,2022,12,,Daniel Hienert,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,TweetsCOV19 - A Knowledge Base of Semantically Annotated Tweets about the COVID-19 Pandemic,10.1145/3340531.3412765,CIKM,2020,7,,Dimitar Dimitrov,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,Geotagging TweetsCOV19: Enriching a COVID-19 Twitter Discourse Knowledge Base with Geographic Information,10.1145/3487553.3524623,WWW,2022,3,,Dimitar Dimitrov,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,Retrieving Potential Causes from a Query Event,10.1145/3397271.3401207,SIGIR,2020,6,,Dwaipayan Roy,"GESIS, Cologne, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,TweetsCOV19 - A Knowledge Base of Semantically Annotated Tweets about the COVID-19 Pandemic,10.1145/3340531.3412765,CIKM,2020,7,,Erdal Baran,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,SoMeSci- A 5 Star Open Data Gold Standard Knowledge Graph of Software Mentions in Scientific Articles,10.1145/3459637.3482017,CIKM,2021,4,,Felix Bensmann,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,ClaimLinker: Linking Text to a Knowledge Graph of Fact-checked Claims,10.1145/3442442.3458601,WWW,2021,6,,Katarina Boland,"GESIS, Cologne and Heinrich-Heine-University Düsseldorf, Germany",,,,"GESIS, Cologne, Cologne, Germany; Heinrich Heine University Düsseldorf, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,The Role of Word-Eye-Fixations for Query Term Prediction,10.1145/3343413.3378010,CHIIR,2020,4,,Masoud Davari,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,TweetsCOV19 - A Knowledge Base of Semantically Annotated Tweets about the COVID-19 Pandemic,10.1145/3340531.3412765,CIKM,2020,7,,Matthäus Zloch,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,IWILDS'20,10.1145/3340531.3414076,CIKM,2020,4,,Ran Yu,"Leibniz Institute for the Social Sciences (GESIS), Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,Auditing Source Diversity Bias in Video Search Results Using Virtual Agents,10.1145/3442442.3452306,WWW,2021,3,,Roberto Ulloa,GESIS – Leibniz Institute for the Social Sciences,,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,SciTweets - A Dataset and Annotation Framework for Detecting Scientific Online Discourse,10.1145/3511808.3557693,CIKM,2022,5,,Sebastian Schellhammer,"GESIS Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,SoMeSci- A 5 Star Open Data Gold Standard Knowledge Graph of Software Mentions in Scientific Articles,10.1145/3459637.3482017,CIKM,2021,4,,Stefan Dietze,"GESIS - Leibniz Institute for the Social Sciences &amp; Heinrich-Heine-University Düsseldorf, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany; Heinrich Heine University Düsseldorf, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,The Role of Word-Eye-Fixations for Query Term Prediction,10.1145/3343413.3378010,CHIIR,2020,4,,Stefan Dietze,"GESIS - Leibniz Institute for the Social Sciences, Cologne, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,"SaL-Lightning Dataset: Search and Eye Gaze Behavior, Resource Interactions and Knowledge Gain during Web Search",10.1145/3498366.3505835,CHIIR,2022,12,,Stefan Dietze,"GESIS - Leibniz Institute for the Social Sciences, Germany",,,,"GESIS, Cologne, Cologne, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,Geotagging TweetsCOV19: Enriching a COVID-19 Twitter Discourse Knowledge Base with Geographic Information,10.1145/3487553.3524623,WWW,2022,3,,Stefan Dietze,"GESIS - Leibniz Institute for the Social Sciences, Germany and Heinrich Heine University Düsseldorf, Germany",,,,"GESIS, Cologne, Cologne, Germany; Heinrich Heine University Düsseldorf, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften,Standort Köln Unter Sachsenhausen 6-8 50667 Köln,https://www.gesis.org/home,,,,,,,,
Germany,Automatic Error Correction Using the Wikipedia Page Revision History,10.1145/3459637.3482062,CIKM,2021,2,,Mohammad Mahdavi,"GISMA University of Applied Sciences, Potsdam, Germany",,,,"GISMA University of Applied Sciences, Potsdam, Germany",,,,,,,,,,,
Germany,Evaluating the Impact of Knowledge Graph Context on Entity Disambiguation Models,10.1145/3340531.3412159,CIKM,2020,6,,Johannes Hoffart,"Goldman Sachs, Frankfurt, Germany",,,,"Goldman Sachs, Germany",,,,,,,,,,,
Germany,HopfE,10.1145/3459637.3482263,CIKM,2021,6,,Johannes Hoffart,"Goldman Sachs, Frankfurt, Germany",,,,"Goldman Sachs, Germany",,,,,,,,,,,
Germany,RECON: Relation Extraction using Knowledge Graph Context in a Graph Neural Network,10.1145/3442381.3449917,WWW,2021,7,,Johannes Hoffart,"Goldman Sachs, Germany",,,,"Goldman Sachs, Germany",,,,,,,,,,,
India,FinRED: A Dataset for Relation Extraction in Financial Domain,10.1145/3487553.3524637,WWW,2022,7,,Koustuv Dasgupta,"Goldman Sachs, India, India",,,,,,,,,,,,,,,
Austria,From Fugu With Love: New Capabilities for the Web,10.1145/3366424.3383526,WWW,2020,6,,Dominick Ng,"Google Australia Sydney, NSW, Australia",,,,,,,,,,,,,,,
Germany,From Fugu With Love: New Capabilities for the Web,10.1145/3366424.3383526,WWW,2020,6,,Thomas Steiner,"Google Germany GmbH Hamburg, Germany",,,,"Google Germany GmbH, Germany",,,,,,,,,,,
Germany,From Fugu With Love: New Capabilities for the Web,10.1145/3366424.3383526,WWW,2020,6,,Rory McClelland,"Google Germany GmbH Munich, Germany",,,,"Google Germany GmbH, Germany",,,,,,,,,,,
Germany,From Fugu With Love: New Capabilities for the Web,10.1145/3366424.3383526,WWW,2020,6,,Thomas Nattestad,"Google Germany GmbH Munich, Germany",,,,"Google Germany GmbH, Germany",,,,,,,,,,,
USA,From Fugu With Love: New Capabilities for the Web,10.1145/3366424.3383526,WWW,2020,6,,Pete LePage,"Google LLC New York, NY, United States",,,,,,,,,,,,,,,
USA,From Fugu With Love: New Capabilities for the Web,10.1145/3366424.3383526,WWW,2020,6,,Alex Russell,"Google LLC San Francisco, CA, United States",,,,,,,,,,,,,,,
USA,Discovering Personalized Semantics for Soft Attributes in Recommender Systems using Concept Activation Vectors,10.1145/3485447.3512113,WWW,2022,7,,Chih-Wei Hsu,"Google Research, USA",,,,,,,,,,,,,,,
USA,Discovering Personalized Semantics for Soft Attributes in Recommender Systems using Concept Activation Vectors,10.1145/3485447.3512113,WWW,2022,7,,Craig Boutilier,"Google Research, USA",,,,,,,,,,,,,,,
USA,Discovering Personalized Semantics for Soft Attributes in Recommender Systems using Concept Activation Vectors,10.1145/3485447.3512113,WWW,2022,7,,Deepak Ramachandran,"Google Research, USA",,,,,,,,,,,,,,,
USA,Discovering Personalized Semantics for Soft Attributes in Recommender Systems using Concept Activation Vectors,10.1145/3485447.3512113,WWW,2022,7,,Yinlam Chow,"Google Research, USA",,,,,,,,,,,,,,,
Germany,Impact of Response Latency on User Behaviour in Mobile Web Search,10.1145/3406522.3446038,CHIIR,2021,3,,Martin Pielot,"Google, Munich, Germany",,,,"Google Germany GmbH, Germany",,,,,,,,,,,
Australia,FactCatch: Incremental Pay-as-You-Go Fact Checking with Minimal User Effort,10.1145/3397271.3401408,SIGIR,2020,6,,Quoc Viet Hung Nguyen,"Griffith University, Gold Coast, Australia",,,,,,,,,,,,,,,
Germany,Hierarchical Semantics Matching For Heterogeneous Spatio-temporal Sources,10.1145/3459637.3482350,CIKM,2021,7,,Daniel Osterholz,"Hamburg University of Applied Sciences, Hamburg, Germany",,,,"Hamburg University of Applied Sciences, Germany",,,,,,,,,,,
Germany,Hierarchical Semantics Matching For Heterogeneous Spatio-temporal Sources,10.1145/3459637.3482350,CIKM,2021,7,,Florian Ocker,"Hamburg University of Applied Sciences, Hamburg, Germany",,,,"Hamburg University of Applied Sciences, Germany",,,,,,,,,,,
Germany,Hierarchical Semantics Matching For Heterogeneous Spatio-temporal Sources,10.1145/3459637.3482350,CIKM,2021,7,,Nima Ahmady-Moghaddam,"Hamburg University of Applied Sciences, Hamburg, Germany",,,,"Hamburg University of Applied Sciences, Germany",,,,,,,,,,,
Germany,Hierarchical Semantics Matching For Heterogeneous Spatio-temporal Sources,10.1145/3459637.3482350,CIKM,2021,7,,Thomas Clemen,"Hamburg University of Applied Sciences, Hamburg, Germany",,,,"Hamburg University of Applied Sciences, Germany",,,,,,,,,,,
Germany,Hierarchical Semantics Matching For Heterogeneous Spatio-temporal Sources,10.1145/3459637.3482350,CIKM,2021,7,,Ulfia Lenfers,"Hamburg University of Applied Sciences, Hamburg, Germany",,,,"Hamburg University of Applied Sciences, Germany",,,,,,,,,,,
Vietnam,FactCatch: Incremental Pay-as-You-Go Fact Checking with Minimal User Effort,10.1145/3397271.3401408,SIGIR,2020,6,,Quang Huy Nguyen,"Hanoi University of Science &amp;Technology, Hanoi, Vietnam",,,,,,,,,,,,,,,
Germany,Exploring and Analyzing Change,10.1145/3511808.3555799,CIKM,2022,5,,Felix Naumann,"Hasso Plattner Institute &amp; University of Potsdam, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",Information Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
August-Bebel-Straße 88
14482 Potsdam, Germany",https://hpi.de/naumann/home.html,,,,,,,,
Germany,Exploring and Analyzing Change,10.1145/3511808.3555799,CIKM,2022,5,,Leon Bornemann,"Hasso Plattner Institute &amp; University of Potsdam, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",Information Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
August-Bebel-Straße 88
14482 Potsdam, Germany",https://hpi.de/naumann/home.html,,,,,,,,
Germany,Discovering Fine-Grained Semantics in Knowledge Graph Relations,10.1145/3511808.3557287,CIKM,2022,2,,Nitisha Jain,"Hasso Plattner Institute &amp; University of Potsdam, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",Information Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
August-Bebel-Straße 88
14482 Potsdam, Germany",https://hpi.de/naumann/home.html,,,,,,,,
Germany,Exploring and Analyzing Change,10.1145/3511808.3555799,CIKM,2022,5,,Tobias Bleifuß,"Hasso Plattner Institute &amp; University of Potsdam, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",Information Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
August-Bebel-Straße 88
14482 Potsdam, Germany",https://hpi.de/naumann/home.html,,,,,,,,
Germany,Few-Shot Knowledge Validation using Rules,10.1145/3442381.3450040,WWW,2021,6,,Benjamin Feldmann,"Hasso Plattner Institute, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany",Information Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
August-Bebel-Straße 88
14482 Potsdam, Germany",https://hpi.de/naumann/home.html,,,,,,,,
Germany,Few-Shot Knowledge Validation using Rules,10.1145/3442381.3450040,WWW,2021,6,,Felix Naumann,"Hasso Plattner Institute, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany",Information Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
August-Bebel-Straße 88
14482 Potsdam, Germany",https://hpi.de/naumann/home.html,,,,,,,,
Germany,Few-Shot Knowledge Validation using Rules,10.1145/3442381.3450040,WWW,2021,6,,Jan Ehmüller,"Hasso Plattner Institute, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany",Information Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
August-Bebel-Straße 88
14482 Potsdam, Germany",https://hpi.de/naumann/home.html,,,,,,,,
Germany,Few-Shot Knowledge Validation using Rules,10.1145/3442381.3450040,WWW,2021,6,,Michael Loster,"Hasso Plattner Institute, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany",Information Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
August-Bebel-Straße 88
14482 Potsdam, Germany",https://hpi.de/naumann/home.html,,,,,,,,
Germany,Efficient Detection of Data Dependency Violations,10.1145/3340531.3412062,CIKM,2020,4,,Felix Naumann,"Hasso Plattner Institute, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany",Information Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
August-Bebel-Straße 88
14482 Potsdam, Germany",https://hpi.de/naumann/home.html,,,,,,,,
Germany,Exploration of Dynamic Query-Based Load Balancing for Partially Replicated Database Systems with Node Failures,10.1145/3340531.3417419,CIKM,2020,2,,Rainer Schlosser,"Hasso Plattner Institute, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany",Data-Driven Decision Support,"Hasso Plattner Institute for Digital Engineering gGmbH
August-Bebel-Straße 88
14482 Potsdam, Germany",https://hpi.de/naumann/home.html,,,,,,,,
Germany,Exploration of Dynamic Query-Based Load Balancing for Partially Replicated Database Systems with Node Failures,10.1145/3340531.3417419,CIKM,2020,2,,Stefan Halfpap,"Hasso Plattner Institute, Potsdam, Germany",,,,"Hasso Plattner Institute, Germany",,,,,,,,,,,
Germany,A Dataset of Journalists' Interactions with Their Readership,10.1145/3340531.3412764,CIKM,2020,2,,Julian Risch,"Hasso Plattner Institute, University of Potsdam, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",Information Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
August-Bebel-Straße 88
14482 Potsdam, Germany",https://hpi.de/naumann/home.html,,,,,,,,
Germany,A Dataset of Journalists' Interactions with Their Readership,10.1145/3340531.3412764,CIKM,2020,2,,Ralf Krestel,"Hasso Plattner Institute, University of Potsdam, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",Web Science Research Group,"Hasso Plattner Institute for Digital Engineering gGmbH
Prof.-Dr.-Helmert-Strasse 2-3
14482 Potsdam",https://hpi.de/en/de-melo/home.html,,,,,,,,
Germany,2nd Workshop on Patent Text Mining and Semantic Technologies (PatentSemTech2021),10.1145/3404835.3462816,SIGIR,2021,6,,Ralf Krestel,"Hasso Plattner Institute, University of Potsdam, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",Web Science Research Group,"Hasso Plattner Institute for Digital Engineering gGmbH
Prof.-Dr.-Helmert-Strasse 2-3
14482 Potsdam",https://hpi.de/en/de-melo/home.html,,,,,,,,
Germany,"Security of Alerting Authorities in the WWW: Measuring Namespaces, DNSSEC, and Web PKI",10.1145/3442381.3450033,WWW,2021,5,,Thomas C. Schmidt,"HAW Hamburg, Germany",,,,"Hochschule für Angewandte Wissenschaften Hamburg, Germany",,,,,,,,,,,
Germany,Online DATEing,10.1145/3477495.3531670,SIGIR,2022,4,,David Pohl,"Heidelberg University, Heidelberg, Germany",,,,"Heidelberg University, Germany",,,,,,,,,,,
Germany,TiCCo,10.1145/3340531.3417432,CIKM,2020,3,,Dennis Aumiller,"Heidelberg University, Heidelberg, Germany",,,,"Heidelberg University, Germany",,,,,,,,,,,
Germany,Online DATEing,10.1145/3477495.3531670,SIGIR,2022,4,,Dennis Aumiller,"Heidelberg University, Heidelberg, Germany",,,,"Heidelberg University, Germany",,,,,,,,,,,
Germany,TiCCo,10.1145/3340531.3417432,CIKM,2020,3,,Michael Gertz,"Heidelberg University, Heidelberg, Germany",,,,"Heidelberg University, Germany",,,,,,,,,,,
Germany,Online DATEing,10.1145/3477495.3531670,SIGIR,2022,4,,Michael Gertz,"Heidelberg University, Heidelberg, Germany",,,,"Heidelberg University, Germany",,,,,,,,,,,
Germany,QFinder,10.1145/3477495.3531672,SIGIR,2022,3,,Michael Gertz,"Heidelberg University, Heidelberg, Germany",,,,"Heidelberg University, Germany",,,,,,,,,,,
Germany,QFinder,10.1145/3477495.3531672,SIGIR,2022,3,,Milena Bruseva,"Heidelberg University, Heidelberg, Germany",,,,"Heidelberg University, Germany",,,,,,,,,,,
Germany,TiCCo,10.1145/3340531.3417432,CIKM,2020,3,,Philip Hausner,"Heidelberg University, Heidelberg, Germany",,,,"Heidelberg University, Germany",,,,,,,,,,,
Germany,Online DATEing,10.1145/3477495.3531670,SIGIR,2022,4,,Satya Almasian,"Heidelberg University, Heidelberg, Germany",,,,"Heidelberg University, Germany",,,,,,,,,,,
Germany,QFinder,10.1145/3477495.3531672,SIGIR,2022,3,,Satya Almasian,"Heidelberg University, Heidelberg, Germany",,,,"Heidelberg University, Germany",,,,,,,,,,,
Germany,Geotagging TweetsCOV19: Enriching a COVID-19 Twitter Discourse Knowledge Base with Geographic Information,10.1145/3487553.3524623,WWW,2022,3,,Dennis Segeth,"Heinrich Heine University Düsseldorf, Germany",,,,"Heinrich Heine University Düsseldorf, Germany",,,,,,,,,,,
Germany,CDCEO'21 - First Workshop on Complex Data Challenges in Earth Observation,10.1145/3459637.3482044,CIKM,2021,9,,Pedram Ghamisi,"Helmholtz-Zentrum Dresden-Rossendorf, Dresden, Germany",,,,"Helmholtz-Zentrum Dresden-Rossendorf, Germany",,,,,,,,,,,
Germany,Path Language Modeling over Knowledge Graphsfor Explainable Recommendation,10.1145/3485447.3511937,WWW,2022,6,,Gerard de Melo,"HPI / University of Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",AI and Intelligent Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
Prof.-Dr.-Helmert-Strasse 2-3
14482 Potsdam",https://hpi.de/en/de-melo/home.html,,,,,,,,
Germany,D-HYPR,10.1145/3511808.3557344,CIKM,2022,6,,Gerard de Melo,"HPI / University of Potsdam, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",AI and Intelligent Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
Prof.-Dr.-Helmert-Strasse 2-3
14482 Potsdam",https://hpi.de/en/de-melo/home.html,,,,,,,,
Germany,Popcorn,10.1145/3459637.3482461,CIKM,2021,5,,Gerard de Melo,"HPI/Univ. of Potsdam, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",AI and Intelligent Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
Prof.-Dr.-Helmert-Strasse 2-3
14482 Potsdam",https://hpi.de/en/de-melo/home.html,,,,,,,,
Germany,HOOPS: Human-in-the-Loop Graph Reasoning for Conversational Recommendation,10.1145/3404835.3463247,SIGIR,2021,7,,Gerard de Melo,"HPI/Univ. of Potsdam, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",AI and Intelligent Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
Prof.-Dr.-Helmert-Strasse 2-3
14482 Potsdam",https://hpi.de/en/de-melo/home.html,,,,,,,,
Germany,CAFE,10.1145/3340531.3412038,CIKM,2020,11,,Gerard de Melo,"HPI/University of Potsdam, Potsdam, Germany",Hasso-Plattner-Institut (HPI),,,"Hasso Plattner Institute, Germany; University Potsdam, Germany",AI and Intelligent Systems Group,"Hasso Plattner Institute for Digital Engineering gGmbH
Prof.-Dr.-Helmert-Strasse 2-3
14482 Potsdam",https://hpi.de/en/de-melo/home.html,,,,,,,,
China,FactCatch: Incremental Pay-as-You-Go Fact Checking with Minimal User Effort,10.1145/3397271.3401408,SIGIR,2020,6,,Bolong Zheng,"Huazhong University of Science &amp; Technology, Huazhong, China",,,,,,,,,,,,,,,
