Land,title,doi,acronym,year,num_authors,orcid,name,affiliation,affiliation_clean,Fakultät,Institut / Lehrstuhl / Fachbereich / Ptrofessur,c_aff,AG / Bereich,Adresse,Homepage,Notiz,2_affiliation_clean,2_Fakultät,2_Institut / Lehrstuhl / Fachbereich / Ptrofessur,2_AG / Bereich,2_Adresse,2_Homepage,2_Notiz
Germany,Comparing Interface Layouts for the Presentation of Multimodal Search Results,10.1145/3576840.3578335,CHIIR,2023,6,http://orcid.org/0000-0003-1668-3304,Wolfgang Gritz,"TIB -- Leibniz Information Centre for Science and Technology, Germany and L3S Research Center, Leibniz University Hannover, Germany",TIB,,,"TIB Leibniz Information Centre for Science and Technology, Germany; L3S Research Center, Leibniz Universität Hannover, Germany",Forschungsgruppe Visual Analytics,TIB - Leibniz Informationszentrum Technik und Naturwissenschaften Lange Laube 28 30159 Hannover,https://www.tib.eu/de/forschung-entwicklung/forschungsgruppen-und-labs/visual-analytics,,,,,Forschungszentrum L3S,Appelstraße 9a 30167 Hannover,https://www.l3s.de/de/,
Germany,Explainable Conversational Question Answering over Heterogeneous Sources,10.1145/3477495.3531688,SIGIR,2022,1,,Philipp Christmann,"Max Planck Institute for Informatics &amp; Saarland University, Saarbrücken, Germany",Max Planck Institute,,,"Max Planck Institute for Informatics, Germany; Saarland University, Saarbruecken, Germany",Databases and Information Systems,Max Planck Institute for Informatics  Saarland Informatics Campus  Building E1 4  66123 Saarbrücken Germany,https://www.mpi-inf.mpg.de/departments/databases-and-information-systems,,htw saar,Ingenieurwissenschaften,Datenbanken & Informationssysteme,Softwarelabor (SWL),Fakultät für Ingenieurwissenschaften htw saar - Hochschule für Technik und Wirtschaft des Saarlandes Goebenstraße 40 66117 Saarbrücken,https://www.htwsaar.de/ingwi,
Germany,Answering Count Queries with Explanatory Evidence,10.1145/3477495.3531870,SIGIR,2022,3,,Shrestha Ghosh,"Max Planck Institute for Informatics &amp; Saarland University, Saarbruecken, Germany",Max Planck Institute,,,"Max Planck Institute for Informatics, Germany; Saarland University, Saarbruecken, Germany",Databases and Information Systems,Max Planck Institute for Informatics  Saarland Informatics Campus  Building E1 4  66123 Saarbrücken Germany,https://www.mpi-inf.mpg.de/departments/databases-and-information-systems,,htw saar,Ingenieurwissenschaften,Datenbanken & Informationssysteme,Softwarelabor (SWL),Fakultät für Ingenieurwissenschaften htw saar - Hochschule für Technik und Wirtschaft des Saarlandes Goebenstraße 40 66117 Saarbrücken,https://www.htwsaar.de/ingwi,
Germany,Contrastive Representation Learning for Conversational Question Answering over Knowledge Graphs,10.1145/3511808.3557267,CIKM,2022,4,,Jens Lehmann,"Amazon and InfAI (Institute for Applied Informatics), Dresden, Germany",,,,"Amazon, Berlin, Germany; InfAI (Institute for Applied Informatics), Dresden, Germany",Amazon Development Center Germany GmbH,Krausenstr. 38 10117  Berlin,https://www.amazon.de/,Auf seiner Website hat Jens  Lehmann die Leipziger  Adresse angegegeben.,Institut für Angewandte Informatik (InfAI) e. V.,,,,Jens Lehmann c/o Nadine Jochimsen Institut für Angewandte Informatik (InfAI) Goerdelerring 9 04109 Leipzig,https://infai.org/,
Germany,HONto: A Bottom-Up Knowledge Base from Textbooks for Recommending Contextually Relevant Documents,10.1145/3404835.3463267,SIGIR,2021,1,,Sabine Wehnert,"Georg Eckert Institute Leibniz Institute for International Textbook Research &amp; Otto von Guericke University Magdeburg, Braunschweig, Germany",Leibniz-Institut für Bildungsmedien | Georg-Eckert-Institut (GEI),,,"Georg Eckert Institute Leibniz Institute for International Textbook Research; Otto-von-Guericke-University, Magdeburg, Germany",,Freisestr. 1 38118 Braunschweig,https://www.gei.de/institut/das-gei,,Institut für Technische und Betriebliche Informationssysteme (ITI) / Universität Magdeburg,,,,Fakultät für Informatik Otto-von-Guericke-Universität Universitätplatz 2 39106 Magdeburg,https://wwwiti.cs.uni-magdeburg.de/index.php,
Germany,Deep Learning meets Knowledge Graphs for Scholarly Data Classification,10.1145/3442442.3451361,WWW,2021,3,,Danilo Dessì,"FIZ Karlsruhe - Leibniz Institute for Information Infrastructure and Karlsruhe Institute of Technology, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
Germany,Deep Learning meets Knowledge Graphs for Scholarly Data Classification,10.1145/3442442.3451361,WWW,2021,3,,Fabian Hoppe,"FIZ Karlsruhe - Leibniz Institute for Information Infrastructure and Karlsruhe Institute of Technology, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
Germany,Deep Learning meets Knowledge Graphs for Scholarly Data Classification,10.1145/3442442.3451361,WWW,2021,3,,Harald Sack,"FIZ Karlsruhe - Leibniz Institute for Information Infrastructure and Karlsruhe Institute of Technology, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
Germany,Towards Analyzing the Bias of News Recommender Systems Using Sentiment and Stance Detection,10.1145/3487553.3524674,WWW,2022,6,,Mehwish Alam,"FIZ Karlsruhe, Germany and Karlsruhe Institute of Technology, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
Germany,Embedding based Link Prediction for Knowledge Graph Completion,10.1145/3340531.3418512,CIKM,2020,1,,Russa Biswas,"FIZ Karlsruhe, Leibniz Institute for Information Infrastructure &amp; KIT Karlsruhe, Karlsruhe, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
