Id,Label,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Cluster,KatzCentrality,eigencentrality,Authority,Hub
Nikolay Kolyada,Nikolay Kolyada,0,18,0,1,1,10,0.211405,0.268894,0,0,0,0.04217,0,0
Bastian Grahm,Bastian Grahm,0,18,0,1,1,10,0.211405,0.268894,0,0,0,0.04217,0,0
Theresa Elstner,Theresa Elstner,0,18,0,1,1,10,0.211405,0.268894,0,0,0,0.04217,0,0
Frank Loebe,Frank Loebe,0,18,0,1,1,10,0.211405,0.268894,0,0,0,0.04217,0,0
Ferdinand Schlatt,Ferdinand Schlatt,0,24,0,1,1,11,0.197147,0.263615,0,0,0,0.045855,0,0
Valentin Barriere,Valentin Barriere,0,24,0,1,1,11,0.197147,0.263615,0,0,0,0.045855,0,0
Brian Ravenet,Brian Ravenet,0,24,0,1,1,11,0.197147,0.263615,0,0,0,0.045855,0,0
Léo Hemamou,Léo Hemamou,0,24,0,1,1,11,0.197147,0.263615,0,0,0,0.045855,0,0
Simon Luck,Simon Luck,0,24,0,1,1,11,0.197147,0.263615,0,0,0,0.045855,0,0
Alexander Pugachev,Alexander Pugachev,0.000231,0.242424,0.000056,3,3,11,0.197917,0.27129,0.000231,0,0,0.057811,0,0
Ekaterina Artemova,Ekaterina Artemova,0,3,0,1,1,12,0.165397,0.20538,0,0,0,0.008615,0,0
Tim Gollub,Tim Gollub,0.000231,0.288998,0.000067,3,3,10,0.219336,0.287048,0.000231,0,0,0.083125,0,0
Jason Brockmeyer,Jason Brockmeyer,0,3,0,1,1,11,0.180095,0.216419,0,0,0,0.01101,0,0
Mara Chinea-Ríos,Mara Chinea-Ríos,0,28,0,1,1,9,0.219336,0.272669,0,0,0,0.041118,0,0
Marc Franco-Salvador,Marc Franco-Salvador,0,28,0,1,1,9,0.219336,0.272669,0,0,0,0.041118,0,0
Erik Körner,Erik Körner,0,28,0,1,1,9,0.219336,0.272669,0,0,0,0.041118,0,0
Jon Chamberlain,Jon Chamberlain,0.002035,0.540653,0.0011,2,4,5,0.45,0.489918,0.002035,1,0,0.191566,0.117576,0.117576
Bogdan Ionescu,Bogdan Ionescu,0.004013,0.000358,0.000001,59,115,6,0.558621,0.804733,0.004013,1,0,1,0.633818,0.633818
Henning Müller,Henning Müller,0,8.012346,0,2,5,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Renaud Péteri,Renaud Péteri,0,8.012346,0,2,4,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Asma Ben Abacha,Asma Ben Abacha,0,8.012346,0,2,5,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Mourad Sarrouti,Mourad Sarrouti,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Dina Demner-Fushman,Dina Demner-Fushman,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Sadid A. Hasan,Sadid A. Hasan,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Serge Kozlovski,Serge Kozlovski,0,8.012346,0,2,5,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Vitali Liauchuk,Vitali Liauchuk,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Yashin Dicente Cid,Yashin Dicente Cid,0,8.012346,0,2,4,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Vassili Kovalev,Vassili Kovalev,0,8.012346,0,2,5,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Obioma Pelka,Obioma Pelka,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Alba García Seco de Herrera,Alba García Seco de Herrera,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Janadhip Jacutprakart,Janadhip Jacutprakart,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Christoph M. Friedrich,Christoph M. Friedrich,0,8.012346,0,2,5,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Raul Berari,Raul Berari,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Andrei Tauteanu,Andrei Tauteanu,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Dimitri Fichou,Dimitri Fichou,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Paul Brie,Paul Brie,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Mihai Dogariu,Mihai Dogariu,0,8.012346,0,2,5,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Liviu Daniel Ştefan,Liviu Daniel Ştefan,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Mihai Gabriel Constantin,Mihai Gabriel Constantin,0,8.012346,0,2,5,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Antonio Campello,Antonio Campello,0,8.012346,0,2,4,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Adrian Clark,Adrian Clark,0,8.012346,0,2,4,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Thomas A. Oliver,Thomas A. Oliver,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Hassan Moustahfid,Hassan Moustahfid,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Adrian Popescu,Adrian Popescu,0,8.012346,0,2,5,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Jérôme Deshayes-Chossart,Jérôme Deshayes-Chossart,0,59,0,1,2,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Johannes Rückert,Johannes Rückert,0,8.012346,0,2,3,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Alba G. Seco de Herrera,Alba G. Seco de Herrera,0.000498,0.004427,0.000002,22,24,6,0.445055,0.576337,0.000498,1,0,0.544803,0.351671,0.351671
Louise Bloch,Louise Bloch,0,8.012346,0,2,3,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Raphael Brüngel,Raphael Brüngel,0,8.012346,0,2,3,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Ahmad Idrissi-Yaghir,Ahmad Idrissi-Yaghir,0,8.012346,0,2,3,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Henning Schäfer,Henning Schäfer,0,8.012346,0,2,3,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Liviu-Daniel Ştefan,Liviu-Daniel Ştefan,0,8.012346,0,2,3,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Hugo Schindler,Hugo Schindler,0,8.012346,0,2,2,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Thomas Oliver,Thomas Oliver,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Abigail Schulz,Abigail Schulz,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Liviu Daniel Stefan,Liviu Daniel Stefan,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Jérôme Deshayes,Jérôme Deshayes,0,8.012346,0,2,3,7,0.361607,0.435126,0,1,0,0.177713,0.114186,0.114186
Ana Maria Drăgulinescu,Ana Maria Drăgulinescu,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Alexandra Andrei,Alexandra Andrei,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Alexandru Stan,Alexandru Stan,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Andrea M. Storås,Andrea M. Storås,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
George Ioannidis,George Ioannidis,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Griffin Adams,Griffin Adams,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Hugo Manguinhas,Hugo Manguinhas,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Ihar Filipovich,Ihar Filipovich,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Ioan Coman,Ioan Coman,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Johanna Schöler,Johanna Schöler,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Meliha Yetisgen,Meliha Yetisgen,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Michael A. Riegler,Michael A. Riegler,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Neal Snider,Neal Snider,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Nikolaos Papachrysos,Nikolaos Papachrysos,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Pål Halvorsen,Pål Halvorsen,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Steven Hicks,Steven Hicks,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Thomas de Lange,Thomas de Lange,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Vajira Thambawita,Vajira Thambawita,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Wen-Wai Yim,Wen-Wai Yim,0,59,0,1,1,7,0.36,0.428954,0,1,0,0.116225,0.073439,0.073439
Preslav Nakov,Preslav Nakov,0.007077,0.001581,0.000011,27,68,12,0.175115,0.332699,0.007077,2,0,0.190849,0,0
Angelo Basile,Angelo Basile,0,3,0,1,1,14,0.130809,0.173657,0,2,0,0.008788,0,0
Tommaso Caselli,Tommaso Caselli,0.000231,0.297872,0.000069,3,4,13,0.150346,0.228702,0.000231,2,0,0.051566,0,0
Giovanni Da San Martino,Giovanni Da San Martino,0,4.2,0,2,4,13,0.150049,0.224316,0,2,0,0.049053,0,0
Tamer Elsayed,Tamer Elsayed,0,4.2,0,2,3,13,0.150049,0.224316,0,2,0,0.049053,0,0
